A_team,B_team,A_score,B_score,A_xg,B_xg,A_standings,B_standings,season,target
Roma,Verona,0,0,1.78,0.91,14,19,2020/2021,0
Sampdoria,Verona,1,1,1.52,1.02,6,13,2014/2015,1
Napoli,Juventus,1,0,1.06,2.01,6,3,2020/2021,1
AC Milan,Bologna,1,0,1.75,1.59,7,14,2016/2017,0
Chievo,AC Milan,1,3,0.25,1.6,5,6,2016/2017,1
AC Milan,Cesena,1,1,0.88,1.13,7,13,2014/2015,0
Sassuolo,Torino,2,3,0.85,3.93,10,8,2018/2019,0
Sassuolo,Inter,1,2,0.87,1.28,8,1,2020/2021,0
Juventus,Roma,3,2,3.05,1.77,1,2,2014/2015,1
Inter,Juventus,0,2,0.36,1.98,5,1,2015/2016,0
Torino,Cagliari,2,1,1.3,0.78,20,19,2014/2015,0
Parma Calcio 1913,Juventus,0,1,0.26,1.89,12,9,2019/2020,1
Roma,Chievo,4,1,1.67,1.43,4,16,2017/2018,1
Crotone,Genoa,0,1,0.59,1.81,18,11,2017/2018,0
Inter,Chievo,2,1,1.77,1.37,5,16,2017/2018,0
Fiorentina,Chievo,0,0,0.86,1.07,5,8,2015/2016,0
Juventus,Roma,0,0,0.2,0.39,1,3,2017/2018,0
Udinese,Inter,1,2,1.33,1.27,10,7,2016/2017,1
Fiorentina,Brescia,1,1,2.17,1.24,13,20,2019/2020,1
Frosinone,Napoli,0,4,0.27,2.44,19,2,2018/2019,0
Torino,Juventus,1,2,1.34,2.53,18,6,2020/2021,0
Sassuolo,Genoa,1,2,0.86,3.1,12,20,2019/2020,0
Palermo,Sassuolo,0,1,0.35,1.68,10,12,2016/2017,1
Genoa,Chievo,2,1,2.38,1.2,11,19,2014/2015,0
Roma,Napoli,1,0,1.23,0.98,3,6,2014/2015,1
Bologna,Empoli,1,3,0.13,2.15,15,17,2016/2017,0
Roma,Spezia,2,2,2.72,2.87,7,15,2020/2021,0
Roma,Fiorentina,2,0,3.63,0.37,6,8,2020/2021,1
Cagliari,AC Milan,0,2,0.76,1.22,6,12,2019/2020,1
Bologna,Genoa,2,0,0.95,0.49,16,10,2015/2016,1
Lazio,Atalanta,2,1,2.01,0.37,4,7,2016/2017,1
Atalanta,Inter,0,1,0.68,0.18,5,1,2020/2021,0
Cagliari,Juventus,2,0,1.06,1.26,13,1,2019/2020,1
Crotone,Juventus,0,2,0.12,1.84,19,1,2016/2017,1
Roma,Bologna,2,1,1.76,2.36,6,18,2018/2019,1
Lazio,Empoli,2,1,1.63,0.27,6,17,2016/2017,0
Sassuolo,Brescia,2,0,0.7,1.18,14,18,2019/2020,0
Bologna,Frosinone,0,4,0.82,1.58,18,20,2018/2019,1
Atalanta,Torino,0,2,1.13,1.51,6,9,2018/2019,0
Juventus,Cagliari,1,1,0.41,1.82,1,18,2014/2015,1
Udinese,Genoa,1,1,1.64,1.27,13,10,2014/2015,0
Genoa,Bologna,1,0,1.2,0.16,12,9,2016/2017,0
Udinese,Napoli,3,1,2.75,0.47,16,2,2015/2016,1
Atalanta,Cagliari,2,1,0.62,3.01,7,8,2014/2015,0
Lazio,Fiorentina,1,1,1.03,0.77,8,10,2018/2019,0
Udinese,Parma Calcio 1913,2,2,2.0,1.55,16,11,2018/2019,0
Roma,Cagliari,1,0,2.11,0.37,3,12,2016/2017,1
Bologna,Sassuolo,1,2,0.61,0.63,9,10,2019/2020,1
Bologna,Torino,0,3,0.96,2.02,12,11,2017/2018,0
Lazio,Atalanta,0,1,0.68,0.76,5,11,2018/2019,0
Atalanta,Roma,1,1,2.39,1.11,4,7,2020/2021,0
Torino,Juventus,1,1,0.65,1.32,6,1,2018/2019,0
AC Milan,Roma,0,0,0.23,1.06,7,2,2014/2015,0
Crotone,Benevento,2,3,2.14,1.3,17,20,2017/2018,0
Chievo,Inter,0,2,0.13,2.01,20,4,2018/2019,0
Parma Calcio 1913,Verona,0,1,1.17,0.37,8,15,2019/2020,1
Torino,Bologna,1,0,1.07,0.51,11,13,2015/2016,0
Benevento,Bologna,0,3,0.69,2.23,20,12,2017/2018,0
Parma Calcio 1913,Bologna,1,4,0.57,1.85,14,15,2018/2019,0
AC Milan,Fiorentina,3,2,1.83,0.45,2,14,2020/2021,0
AC Milan,Cagliari,1,1,2.49,0.43,15,13,2018/2019,0
Udinese,Genoa,2,2,0.63,1.77,16,12,2018/2019,0
Inter,Empoli,0,0,0.96,0.75,9,15,2014/2015,0
Sampdoria,Udinese,3,1,0.76,0.74,16,14,2019/2020,0
Inter,Atalanta,1,0,1.04,0.38,10,7,2015/2016,1
Napoli,AC Milan,1,0,1.35,1.48,6,2,2020/2021,0
Juventus,Fiorentina,3,1,1.68,0.89,5,2,2015/2016,1
Sampdoria,AC Milan,2,3,0.55,2.18,6,13,2018/2019,0
Atalanta,Cagliari,0,3,1.02,1.04,15,17,2016/2017,0
Cesena,Roma,0,2,0.17,2.94,18,2,2014/2015,0
Roma,Empoli,1,1,0.71,1.07,2,16,2014/2015,1
Cagliari,Juventus,0,1,0.55,1.49,15,2,2017/2018,1
AC Milan,Cagliari,1,1,0.5,1.93,6,13,2014/2015,0
Fiorentina,Torino,1,1,1.19,0.96,6,9,2018/2019,0
Fiorentina,Crotone,1,2,0.76,0.99,7,17,2017/2018,0
Udinese,Empoli,1,1,0.67,2.1,15,9,2015/2016,0
Frosinone,Napoli,0,2,1.35,2.28,19,2,2018/2019,1
Lazio,Sassuolo,6,1,4.08,1.72,5,16,2017/2018,1
Genoa,Sampdoria,1,1,2.0,0.65,14,12,2018/2019,1
Torino,Napoli,1,2,0.41,3.28,13,10,2014/2015,0
Torino,Bologna,2,3,1.45,1.98,7,18,2018/2019,1
Lazio,Roma,1,1,1.14,2.13,3,5,2019/2020,0
Parma Calcio 1913,Sampdoria,2,2,1.02,1.39,19,8,2014/2015,0
Sampdoria,Cesena,1,1,1.41,1.01,4,19,2014/2015,0
Genoa,Juventus,1,3,1.47,2.83,13,4,2020/2021,0
Frosinone,Udinese,1,1,1.22,0.37,20,17,2018/2019,0
Napoli,Udinese,0,1,0.44,0.69,12,13,2014/2015,0
Frosinone,Bologna,1,0,1.81,1.07,19,10,2015/2016,1
Inter,Parma Calcio 1913,2,1,3.46,0.81,1,19,2020/2021,0
Juventus,Torino,2,1,1.8,1.06,1,15,2014/2015,1
Juventus,Inter,0,0,0.9,0.36,14,3,2015/2016,0
Brescia,Roma,0,3,0.31,2.52,20,6,2019/2020,0
Sampdoria,Genoa,1,0,0.73,0.64,10,15,2016/2017,0
Juventus,Lazio,3,0,1.29,0.59,1,5,2014/2015,0
Sampdoria,Palermo,1,1,1.45,0.51,16,17,2016/2017,1
Sassuolo,Lazio,1,1,0.54,1.49,8,5,2018/2019,1
Juventus,Inter,1,0,1.08,0.76,1,4,2016/2017,1
Atalanta,Napoli,2,0,1.07,0.66,4,6,2019/2020,1
Parma Calcio 1913,Lazio,0,2,0.38,3.42,19,8,2020/2021,1
AC Milan,Torino,3,0,1.93,1.02,10,9,2014/2015,1
Crotone,Lazio,0,2,0.43,1.79,20,7,2020/2021,1
Lazio,Inter,1,2,1.3,2.23,3,8,2014/2015,1
Lazio,Empoli,2,0,1.91,1.04,11,17,2016/2017,1
SPAL 2013,Napoli,0,1,0.07,2.05,18,1,2017/2018,0
Napoli,Inter,0,2,1.17,0.59,7,2,2019/2020,0
Torino,Inter,2,1,2.3,1.27,15,5,2015/2016,0
Lecce,Torino,4,0,2.4,0.96,17,12,2019/2020,1
Frosinone,Inter,1,3,0.79,3.71,19,3,2018/2019,1
Crotone,Palermo,1,1,1.14,0.61,20,18,2016/2017,1
Chievo,Sassuolo,0,0,0.42,0.45,20,14,2014/2015,1
Cagliari,Juventus,0,4,0.07,3.23,16,4,2016/2017,0
Genoa,Roma,0,2,0.44,0.87,7,3,2014/2015,0
Spezia,Lazio,1,2,1.73,0.44,14,8,2020/2021,1
Roma,SPAL 2013,6,1,1.79,0.51,6,20,2019/2020,0
Spezia,Sampdoria,2,2,2.76,1.84,17,9,2020/2021,0
Lazio,Atalanta,1,3,0.37,1.81,8,4,2018/2019,1
Chievo,Cagliari,2,0,1.42,1.02,13,11,2017/2018,0
Torino,AC Milan,2,0,1.24,0.6,8,6,2018/2019,1
Fiorentina,Napoli,0,2,0.34,1.91,13,5,2020/2021,1
Lecce,Brescia,3,1,2.54,0.96,18,19,2019/2020,1
Fiorentina,AC Milan,3,1,3.01,0.59,15,12,2019/2020,0
Udinese,AC Milan,1,2,0.96,1.02,18,2,2020/2021,1
Fiorentina,Juventus,2,1,0.76,1.79,9,1,2016/2017,1
Chievo,Roma,3,5,1.85,2.03,14,2,2016/2017,1
Napoli,Lazio,5,2,1.59,1.44,5,6,2020/2021,1
Fiorentina,Cagliari,0,0,0.51,0.97,13,11,2019/2020,1
Torino,Sampdoria,2,0,2.63,0.8,7,6,2015/2016,1
Juventus,Roma,1,0,0.83,0.51,1,2,2016/2017,1
Fiorentina,Roma,2,4,1.19,2.3,7,5,2017/2018,1
Torino,Genoa,3,3,1.46,1.58,10,17,2015/2016,1
Napoli,Bologna,1,2,1.75,1.48,7,16,2019/2020,1
Torino,Napoli,1,2,0.82,2.16,14,6,2019/2020,0
Atalanta,Juventus,2,2,1.36,3.15,10,2,2017/2018,1
Parma Calcio 1913,Atalanta,2,5,1.06,3.17,19,4,2020/2021,1
Lazio,Atalanta,3,3,2.7,2.57,6,3,2019/2020,1
Verona,Torino,0,0,0.55,1.62,20,13,2015/2016,0
Juventus,Inter,2,0,1.24,0.44,2,3,2019/2020,1
Lazio,Torino,2,0,1.45,0.4,3,9,2014/2015,0
Torino,Napoli,2,2,0.31,1.89,10,2,2017/2018,0
Udinese,Roma,0,4,0.56,3.28,14,7,2019/2020,1
Empoli,Atalanta,0,0,0.59,0.98,8,12,2015/2016,0
Verona,Inter,1,2,1.01,1.11,19,4,2017/2018,1
Sassuolo,Lecce,4,2,1.82,2.05,12,18,2019/2020,1
Cagliari,Juventus,0,2,0.45,1.68,15,1,2016/2017,1
Juventus,Torino,4,1,1.77,1.46,1,15,2019/2020,1
Sampdoria,Genoa,2,0,1.69,1.04,6,18,2017/2018,0
Cagliari,Sassuolo,0,3,0.42,4.31,13,12,2018/2019,0
Sassuolo,Cesena,3,2,1.24,2.5,16,19,2014/2015,0
Lazio,Roma,2,2,1.48,0.63,3,2,2014/2015,0
Roma,Chievo,0,0,2.5,1.02,4,12,2017/2018,0
Crotone,Napoli,0,1,0.09,1.38,18,1,2017/2018,1
Empoli,Fiorentina,1,0,0.95,2.43,18,12,2018/2019,1
AC Milan,Verona,2,2,3.65,2.21,1,11,2020/2021,1
Bologna,Verona,1,0,2.59,0.7,13,9,2020/2021,1
Sampdoria,Fiorentina,1,5,2.03,3.04,17,14,2019/2020,1
Cagliari,Torino,2,3,1.53,1.81,14,10,2016/2017,1
Crotone,Roma,0,4,1.21,2.22,20,8,2016/2017,0
Spezia,Napoli,1,4,1.27,2.32,16,5,2020/2021,1
Lazio,Torino,2,1,1.17,0.5,6,13,2014/2015,1
Roma,Napoli,4,2,1.74,2.29,5,1,2017/2018,0
Napoli,Sampdoria,3,2,2.47,0.94,2,6,2017/2018,1
Roma,Parma Calcio 1913,0,2,1.68,2.1,5,19,2020/2021,0
Fiorentina,Sampdoria,1,1,1.57,0.8,8,15,2016/2017,1
Juventus,Napoli,1,2,0.68,0.7,13,12,2015/2016,0
Fiorentina,Torino,1,2,1.92,0.95,12,11,2019/2020,0
Lecce,Sampdoria,1,1,1.06,1.64,16,20,2019/2020,0
Bologna,Inter,0,1,1.27,2.12,11,1,2020/2021,1
Sampdoria,Spezia,2,2,1.84,2.76,9,17,2020/2021,1
Parma Calcio 1913,Sassuolo,0,0,0.83,1.25,15,11,2018/2019,0
Roma,Atalanta,2,1,0.32,0.87,2,16,2014/2015,0
Napoli,Lazio,2,4,2.96,1.64,5,3,2014/2015,1
Verona,Bologna,1,1,0.11,2.11,13,10,2019/2020,1
Sassuolo,Udinese,2,1,2.06,1.63,12,13,2016/2017,0
Sassuolo,Crotone,2,1,2.78,0.74,8,20,2020/2021,0
Torino,Sampdoria,0,1,0.74,0.77,17,12,2020/2021,0
AC Milan,Palermo,2,0,2.34,0.7,6,15,2015/2016,0
Fiorentina,Cagliari,1,1,1.4,0.92,7,15,2018/2019,1
Sampdoria,Chievo,1,1,1.13,0.22,11,14,2016/2017,1
Fiorentina,Lazio,0,4,0.2,3.7,5,4,2014/2015,0
Cagliari,Empoli,4,0,1.5,0.46,17,13,2014/2015,0
Napoli,Atalanta,2,2,3.2,1.34,6,3,2019/2020,1
Udinese,AC Milan,1,1,0.77,1.31,12,2,2020/2021,0
Verona,Cagliari,1,1,3.03,1.68,9,12,2020/2021,1
Lazio,Chievo,5,1,1.16,0.36,4,13,2017/2018,1
Udinese,Inter,1,2,0.59,2.27,13,9,2014/2015,1
AC Milan,Genoa,2,1,1.54,0.38,7,11,2018/2019,1
Sassuolo,Atalanta,1,2,0.3,1.26,12,17,2014/2015,0
Sampdoria,Juventus,1,2,0.56,0.87,16,2,2019/2020,1
Inter,Torino,3,1,2.52,1.7,4,16,2019/2020,1
Fiorentina,Empoli,3,1,1.59,1.39,12,14,2018/2019,1
Atalanta,Udinese,0,0,0.74,0.27,17,12,2014/2015,1
Fiorentina,Bologna,3,3,2.01,1.94,14,12,2020/2021,0
Inter,Roma,0,0,2.08,0.21,1,5,2019/2020,1
SPAL 2013,Cagliari,0,2,0.72,1.67,18,16,2017/2018,0
AC Milan,Crotone,2,1,1.58,0.77,3,18,2016/2017,1
Fiorentina,Juventus,2,3,2.05,1.69,7,1,2014/2015,0
Verona,Fiorentina,1,0,1.52,0.84,10,9,2019/2020,1
Empoli,Lazio,0,2,1.04,1.91,17,11,2016/2017,0
Lecce,Verona,0,1,0.99,1.82,20,13,2019/2020,1
Bologna,Chievo,3,0,3.1,0.67,18,20,2018/2019,1
Juventus,Bologna,2,0,0.85,0.33,1,18,2018/2019,1
Atalanta,Palermo,3,1,2.6,0.74,6,18,2016/2017,0
Inter,Fiorentina,1,1,1.71,1.93,3,8,2017/2018,0
Bologna,Roma,0,1,2.01,1.37,11,6,2020/2021,0
Torino,Fiorentina,0,3,0.88,1.34,12,11,2017/2018,0
Crotone,Empoli,1,2,0.52,0.64,19,20,2016/2017,0
Crotone,SPAL 2013,1,1,0.54,2.51,16,15,2017/2018,0
Cesena,Juventus,2,2,1.06,2.24,19,1,2014/2015,1
Fiorentina,Juventus,1,2,2.42,1.47,5,1,2015/2016,1
Verona,Napoli,1,3,1.4,2.62,19,12,2017/2018,1
Brescia,Bologna,1,2,0.84,2.17,19,11,2019/2020,0
Inter,Atalanta,1,1,0.82,0.96,6,5,2020/2021,0
Brescia,Juventus,0,2,0.24,2.89,19,2,2019/2020,0
Roma,Palermo,4,1,2.49,0.44,4,17,2016/2017,1
Lazio,Napoli,1,1,0.41,0.71,4,5,2016/2017,0
Napoli,Brescia,2,1,1.42,1.28,9,19,2019/2020,0
Genoa,Inter,0,5,0.26,3.37,11,3,2018/2019,0
Fiorentina,AC Milan,2,3,0.45,1.83,14,2,2020/2021,1
Bologna,Benevento,0,1,1.82,0.89,9,12,2020/2021,0
Udinese,Chievo,1,1,0.4,1.38,9,18,2014/2015,1
Palermo,Bologna,0,0,0.64,1.05,16,9,2015/2016,1
Atalanta,Verona,0,0,0.88,0.73,4,17,2014/2015,1
Roma,AC Milan,3,1,2.28,1.37,3,7,2015/2016,0
Lazio,Torino,3,0,1.31,0.32,6,7,2015/2016,1
Genoa,Napoli,1,2,0.52,1.79,9,11,2014/2015,1
Sampdoria,Napoli,0,2,1.7,1.73,20,13,2019/2020,0
Genoa,Fiorentina,1,0,1.08,0.51,13,7,2016/2017,1
Spezia,Inter,1,1,0.03,2.88,15,1,2020/2021,1
Cagliari,Pescara,1,1,0.35,1.43,12,20,2016/2017,0
AC Milan,Palermo,4,0,3.22,0.21,7,19,2016/2017,1
AC Milan,Sassuolo,1,2,1.11,2.14,2,8,2020/2021,1
Cesena,Udinese,1,0,1.26,0.38,19,13,2014/2015,1
Lazio,Juventus,1,3,0.88,1.45,7,4,2020/2021,0
Juventus,Chievo,3,0,1.25,0.91,2,10,2017/2018,1
Chievo,Lazio,1,1,0.2,1.88,13,2,2014/2015,0
Roma,Torino,3,1,3.05,0.98,5,19,2020/2021,1
Genoa,Udinese,4,2,1.91,1.13,9,7,2014/2015,0
Fiorentina,Roma,0,2,0.38,2.24,7,14,2014/2015,0
Lazio,Spezia,2,1,2.37,0.94,7,16,2020/2021,1
Sampdoria,Atalanta,0,2,1.15,0.81,14,4,2019/2020,0
Frosinone,Empoli,3,3,1.05,1.19,20,18,2018/2019,1
Fiorentina,Udinese,3,2,1.2,2.69,13,17,2020/2021,1
Verona,Sampdoria,1,3,1.32,1.94,9,10,2020/2021,0
Juventus,Roma,1,0,2.31,1.94,2,4,2017/2018,1
Verona,Torino,1,0,1.22,2.62,6,18,2014/2015,0
Frosinone,Atalanta,0,2,0.84,3.16,14,13,2015/2016,0
AC Milan,Fiorentina,2,0,2.86,0.6,1,15,2020/2021,1
Sampdoria,Roma,0,0,0.63,0.44,20,8,2019/2020,1
Sassuolo,Chievo,0,0,0.45,0.42,14,20,2014/2015,0
Frosinone,Roma,2,3,1.66,2.3,19,5,2018/2019,1
Parma Calcio 1913,Inter,2,2,0.95,2.42,9,2,2019/2020,0
Bologna,Parma Calcio 1913,2,2,0.63,1.37,11,12,2019/2020,0
Sampdoria,Juventus,0,2,0.24,1.64,10,5,2020/2021,1
Napoli,Sampdoria,4,2,3.38,0.56,2,15,2015/2016,0
Udinese,Inter,3,1,2.92,2.29,13,1,2017/2018,0
Chievo,Crotone,2,1,0.83,1.07,18,15,2017/2018,1
Inter,Pescara,2,1,1.7,1.53,16,15,2016/2017,0
Atalanta,Sassuolo,4,1,3.17,2.51,4,11,2019/2020,1
Crotone,Inter,0,2,1.01,0.74,17,2,2017/2018,1
Empoli,Chievo,3,0,2.17,0.29,14,15,2014/2015,1
Palermo,Cesena,2,1,1.0,1.13,20,14,2014/2015,1
Chievo,Atalanta,1,5,0.86,2.17,19,17,2018/2019,1
Juventus,Napoli,3,1,0.85,1.1,1,4,2014/2015,0
Genoa,Cagliari,3,2,1.98,1.24,19,14,2017/2018,0
Empoli,Atalanta,0,0,1.28,0.68,14,17,2014/2015,1
Genoa,Cagliari,1,3,1.61,1.25,10,12,2019/2020,0
Lazio,Torino,1,3,1.42,1.07,5,12,2017/2018,1
Sassuolo,Inter,3,4,0.89,3.05,16,2,2019/2020,1
Bologna,Fiorentina,1,1,0.87,0.39,11,15,2019/2020,1
Chievo,Juventus,0,3,0.91,1.25,10,2,2017/2018,0
Parma Calcio 1913,Inter,2,2,0.76,3.05,17,5,2020/2021,0
Crotone,Juventus,0,3,0.65,4.42,20,6,2020/2021,0
Roma,AC Milan,1,0,0.55,1.05,2,3,2016/2017,1
Lazio,AC Milan,1,1,1.0,0.41,4,5,2018/2019,1
Inter,Empoli,1,0,0.93,0.43,3,16,2018/2019,0
Bologna,Napoli,2,3,0.74,1.87,18,2,2018/2019,0
Fiorentina,Sampdoria,1,1,1.71,0.46,6,5,2018/2019,0
Verona,Inter,1,2,1.27,2.25,9,2,2019/2020,0
Roma,AC Milan,2,0,1.19,0.78,5,6,2017/2018,0
Chievo,Atalanta,1,1,0.98,0.76,14,17,2014/2015,1
Genoa,Cagliari,1,0,1.24,0.96,18,8,2019/2020,1
Roma,Atalanta,3,3,2.11,2.49,3,15,2015/2016,0
Chievo,Udinese,2,1,0.42,0.73,13,14,2017/2018,0
Carpi,AC Milan,0,0,0.41,0.86,19,8,2015/2016,1
Bologna,SPAL 2013,0,1,1.41,0.53,12,18,2017/2018,0
Lazio,Sassuolo,3,2,1.6,1.67,10,20,2014/2015,1
Torino,Carpi,0,0,1.24,0.3,11,19,2015/2016,1
Cagliari,Napoli,0,3,0.52,1.05,19,4,2014/2015,1
AC Milan,Genoa,2,2,2.05,1.23,1,19,2020/2021,0
Udinese,Napoli,0,1,0.32,1.7,14,2,2017/2018,1
Napoli,Torino,3,1,2.32,0.73,2,9,2017/2018,0
Juventus,Udinese,3,1,2.21,1.25,2,17,2019/2020,1
Roma,Lecce,1,0,3.0,0.79,10,16,2019/2020,0
Fiorentina,Chievo,4,3,2.36,3.36,11,20,2018/2019,0
Pescara,Chievo,0,2,0.75,2.25,20,12,2016/2017,0
Juventus,Cesena,2,2,2.24,1.06,1,19,2014/2015,0
Juventus,Fiorentina,2,1,1.47,2.42,1,5,2015/2016,0
Udinese,AC Milan,1,0,0.51,0.96,12,11,2016/2017,0
Sampdoria,Inter,1,2,0.96,1.93,9,3,2018/2019,0
AC Milan,Bologna,2,0,2.94,0.83,9,12,2020/2021,1
Parma Calcio 1913,Atalanta,1,2,1.56,1.14,9,3,2019/2020,1
Torino,Parma Calcio 1913,0,0,0.86,0.76,7,14,2018/2019,0
Bologna,Parma Calcio 1913,4,1,2.05,1.24,15,16,2020/2021,1
Empoli,Sassuolo,3,0,1.51,0.62,18,11,2018/2019,1
Chievo,Torino,0,3,1.11,0.88,20,9,2018/2019,0
Torino,Napoli,0,0,0.48,0.84,11,4,2019/2020,1
AC Milan,Roma,2,1,3.25,1.2,2,4,2020/2021,0
Juventus,Atalanta,1,1,2.71,0.9,6,8,2020/2021,1
Atalanta,Palermo,3,0,1.52,0.85,9,16,2015/2016,1
Juventus,Napoli,1,2,0.65,1.27,1,13,2019/2020,0
Roma,Inter,0,1,1.89,0.39,1,4,2015/2016,0
SPAL 2013,Roma,1,3,1.32,4.71,18,4,2017/2018,0
Udinese,Torino,0,1,1.86,1.0,14,15,2019/2020,0
Napoli,Torino,2,0,3.05,1.05,5,16,2020/2021,0
Sampdoria,Palermo,0,2,0.45,1.3,15,18,2015/2016,0
Juventus,Bologna,2,1,1.86,0.96,1,11,2019/2020,1
Roma,Inter,1,1,1.15,0.3,3,5,2015/2016,1
Sassuolo,Palermo,1,0,1.68,0.35,12,10,2016/2017,0
Genoa,Torino,3,2,2.52,1.27,14,12,2015/2016,1
Spezia,Fiorentina,0,3,0.85,2.08,13,16,2020/2021,0
Napoli,Inter,4,1,1.74,1.99,2,4,2018/2019,1
Fiorentina,Sampdoria,2,0,2.26,0.51,6,4,2014/2015,1
Juventus,Chievo,3,0,3.93,0.47,1,19,2018/2019,1
Crotone,Napoli,0,3,0.25,3.48,19,3,2016/2017,0
Napoli,Inter,3,0,1.77,1.12,7,8,2016/2017,1
Juventus,Fiorentina,2,1,1.56,0.24,11,8,2016/2017,1
Torino,Sassuolo,2,1,1.87,1.35,13,12,2019/2020,1
Sassuolo,Chievo,1,1,1.11,1.51,8,11,2015/2016,0
Napoli,Empoli,2,2,1.03,1.29,14,18,2015/2016,0
Fiorentina,Udinese,1,2,0.66,1.16,5,16,2015/2016,0
Fiorentina,Torino,1,3,0.84,0.65,6,10,2015/2016,0
Pescara,Juventus,0,3,0.9,1.75,20,1,2016/2017,0
Atalanta,Lecce,7,2,5.41,0.34,4,16,2019/2020,0
Genoa,Benevento,2,2,1.28,1.04,14,17,2020/2021,1
Palermo,Fiorentina,0,0,0.17,2.01,18,5,2015/2016,0
Chievo,Verona,1,0,0.74,0.96,17,15,2014/2015,0
Atalanta,Brescia,3,0,2.67,1.21,6,20,2019/2020,0
Palermo,Empoli,0,3,0.32,1.99,19,17,2014/2015,0
Parma Calcio 1913,Lazio,1,2,1.34,1.78,20,9,2014/2015,1
Fiorentina,Sassuolo,0,1,0.29,0.72,8,13,2017/2018,0
Genoa,Juventus,1,3,0.2,0.79,16,1,2019/2020,1
Parma Calcio 1913,Lazio,0,1,0.71,1.67,9,3,2019/2020,1
Cagliari,Genoa,1,2,1.16,1.0,14,13,2017/2018,0
Chievo,Sassuolo,0,0,0.51,1.7,10,18,2017/2018,0
Napoli,Inter,0,1,0.76,1.07,2,3,2018/2019,0
Spezia,Atalanta,1,3,1.25,2.01,15,5,2020/2021,0
Inter,Atalanta,1,2,0.24,2.39,11,14,2016/2017,0
Palermo,Genoa,4,3,1.85,1.5,19,11,2016/2017,0
Benevento,Sampdoria,3,2,1.65,1.02,20,6,2017/2018,1
Sampdoria,Atalanta,0,0,0.89,0.52,18,6,2019/2020,1
Bologna,AC Milan,0,3,0.27,2.82,15,6,2016/2017,0
Juventus,Roma,2,0,0.25,0.65,4,3,2020/2021,1
Sassuolo,Atalanta,0,3,0.94,2.23,13,9,2017/2018,1
Fiorentina,Inter,1,1,1.93,1.71,8,3,2017/2018,1
AC Milan,Genoa,1,2,1.95,1.87,7,18,2019/2020,1
AC Milan,Atalanta,1,1,0.96,1.67,6,5,2016/2017,0
Torino,Sampdoria,1,3,0.6,1.99,12,16,2019/2020,1
Napoli,Chievo,0,0,0.71,0.65,1,11,2017/2018,0
AC Milan,Roma,1,1,1.2,1.03,7,5,2015/2016,0
Cagliari,Verona,2,1,2.38,0.77,16,19,2017/2018,1
Cagliari,Roma,0,1,0.11,2.5,14,4,2017/2018,0
Udinese,Sassuolo,1,1,0.91,0.75,17,13,2018/2019,1
Sassuolo,Chievo,1,1,0.68,0.32,16,15,2017/2018,0
Sampdoria,Carpi,5,2,1.41,2.67,12,10,2015/2016,1
Verona,Roma,1,1,0.68,0.71,16,2,2014/2015,1
Roma,Atalanta,1,1,1.45,0.3,2,5,2016/2017,1
Bologna,Sampdoria,2,1,2.25,0.51,13,20,2019/2020,1
Bologna,Juventus,0,3,0.23,2.03,15,1,2016/2017,0
Chievo,Fiorentina,0,2,0.23,1.0,10,4,2015/2016,0
Lazio,Juventus,0,1,0.17,0.61,7,6,2016/2017,1
Torino,Udinese,1,0,1.0,1.86,15,14,2019/2020,1
Empoli,Cagliari,2,3,1.77,2.54,17,15,2016/2017,0
Atalanta,Bologna,2,0,3.92,0.38,15,9,2015/2016,1
Sampdoria,Cagliari,2,0,1.31,0.54,6,18,2014/2015,1
Napoli,Parma Calcio 1913,3,0,2.86,0.09,2,11,2018/2019,1
Lazio,Napoli,1,0,1.5,0.99,3,9,2019/2020,1
Fiorentina,Frosinone,0,1,1.33,0.73,10,19,2018/2019,1
Torino,Genoa,1,2,0.26,2.03,9,16,2016/2017,0
Lecce,Roma,0,4,0.58,3.81,16,5,2019/2020,0
Roma,Torino,3,2,2.2,1.58,3,11,2015/2016,1
Torino,Fiorentina,2,1,0.95,1.92,11,12,2019/2020,1
Roma,Inter,1,1,0.53,1.6,5,3,2018/2019,0
Verona,Palermo,2,3,1.36,0.79,20,17,2015/2016,0
Verona,Lazio,0,2,0.12,2.12,19,5,2017/2018,0
Inter,Cagliari,4,0,2.35,0.0,5,14,2017/2018,1
AC Milan,Parma Calcio 1913,3,1,1.01,1.7,2,19,2020/2021,0
Sassuolo,Fiorentina,3,3,1.1,2.2,10,12,2018/2019,1
Roma,Napoli,2,1,2.21,1.65,4,6,2019/2020,1
Juventus,Genoa,4,2,2.13,1.21,4,9,2017/2018,0
Benevento,Crotone,0,2,1.98,1.48,20,19,2017/2018,0
Inter,AC Milan,1,0,1.86,0.83,4,12,2015/2016,1
Frosinone,Torino,1,2,0.9,2.0,8,16,2015/2016,1
Parma Calcio 1913,SPAL 2013,0,1,1.39,1.13,9,20,2019/2020,1
Torino,Parma Calcio 1913,1,2,2.34,1.6,8,13,2018/2019,1
Juventus,Bologna,2,0,1.79,0.58,1,10,2019/2020,0
Fiorentina,Bologna,2,1,0.84,0.4,11,12,2017/2018,0
Sassuolo,Genoa,1,2,1.06,0.93,5,16,2015/2016,0
Roma,Lazio,1,1,1.2,2.07,12,6,2019/2020,0
Roma,Genoa,3,2,2.32,1.05,3,11,2015/2016,0
Lazio,Juventus,0,2,0.32,1.51,17,3,2018/2019,0
