A_team,B_team,A_score,B_score,A_xg,B_xg,A_standings,B_standings,season,target
Roma,Atalanta,3,3,1.86,2.36,6,8,2018/2019,0
Genoa,Atalanta,1,2,1.3,1.37,16,12,2017/2018,1
Chievo,Sassuolo,1,1,0.32,0.68,15,16,2017/2018,1
Genoa,Bologna,0,2,0.8,1.78,12,13,2017/2018,0
Spezia,Genoa,1,2,0.53,1.25,17,20,2020/2021,1
Juventus,Palermo,1,0,1.23,0.12,2,15,2016/2017,0
Napoli,Lecce,2,3,3.48,1.83,11,17,2019/2020,1
Atalanta,Cagliari,0,1,1.26,0.73,7,16,2017/2018,0
Roma,Lazio,2,0,2.03,1.36,4,9,2015/2016,1
AC Milan,Palermo,2,1,1.72,1.83,8,11,2014/2015,0
Napoli,Juventus,1,2,0.9,0.49,3,1,2016/2017,0
Empoli,Cagliari,2,0,0.78,1.43,17,15,2016/2017,1
Genoa,Bologna,1,1,1.36,1.36,13,18,2018/2019,0
Juventus,Crotone,1,1,1.58,1.4,8,20,2020/2021,0
Cagliari,Parma Calcio 1913,2,2,2.77,2.21,6,7,2019/2020,1
Sassuolo,AC Milan,2,1,2.14,1.11,8,2,2020/2021,0
Napoli,Udinese,3,0,1.51,0.42,3,11,2016/2017,1
Sassuolo,Brescia,3,0,2.12,0.47,13,20,2019/2020,1
Sassuolo,Juventus,1,1,0.76,1.94,20,1,2014/2015,1
Roma,Genoa,1,1,0.73,2.43,5,16,2018/2019,0
Udinese,Atalanta,1,3,0.9,2.26,17,12,2018/2019,1
Torino,Bologna,2,0,1.33,0.1,9,17,2015/2016,1
Fiorentina,Genoa,1,1,2.79,1.38,17,19,2020/2021,1
Crotone,Benevento,1,1,1.1,1.8,19,18,2020/2021,0
Udinese,Inter,0,4,0.93,1.73,15,5,2017/2018,1
Verona,Atalanta,1,1,0.75,0.92,16,11,2015/2016,0
Verona,Palermo,2,1,2.1,1.39,13,12,2014/2015,1
Fiorentina,Genoa,3,2,1.73,2.27,8,11,2017/2018,0
Roma,Torino,1,3,2.98,2.48,5,14,2016/2017,0
Chievo,Juventus,1,1,0.64,2.75,2,17,2015/2016,0
Inter,Napoli,3,1,1.24,1.69,2,8,2019/2020,0
Benevento,Udinese,2,4,2.52,1.35,17,12,2020/2021,1
Sampdoria,Napoli,2,4,1.73,1.62,16,11,2019/2020,1
Empoli,AC Milan,2,1,1.84,2.45,17,6,2016/2017,0
Napoli,Frosinone,4,0,3.96,0.84,3,19,2015/2016,1
Inter,Verona,2,1,2.03,1.24,2,9,2020/2021,0
Torino,Inter,1,3,1.7,2.52,16,4,2019/2020,0
Napoli,Udinese,3,0,2.01,1.72,2,15,2018/2019,0
Roma,Juventus,1,1,0.36,0.63,2,1,2014/2015,1
Genoa,Juventus,0,1,0.18,0.72,16,2,2015/2016,0
Udinese,Bologna,1,1,0.49,2.53,11,12,2020/2021,1
Udinese,Lazio,0,2,0.61,1.34,11,13,2015/2016,0
Parma Calcio 1913,Cesena,0,1,0.44,1.09,13,7,2014/2015,0
AC Milan,Genoa,2,1,0.74,1.08,6,16,2015/2016,1
Torino,Sampdoria,0,2,0.39,0.42,13,12,2014/2015,0
Lazio,Sampdoria,4,0,2.64,0.28,5,9,2017/2018,1
Torino,Chievo,0,0,0.72,0.56,10,16,2017/2018,0
Juventus,Atalanta,1,1,0.88,1.67,1,4,2018/2019,1
Carpi,Atalanta,1,1,1.44,0.95,19,13,2015/2016,1
Lazio,Sampdoria,1,1,0.82,0.42,13,16,2015/2016,1
Inter,Atalanta,7,1,2.84,0.82,6,5,2016/2017,1
Lazio,Genoa,0,0,0.52,0.34,9,16,2015/2016,0
Sampdoria,Pescara,1,1,1.65,1.69,15,19,2016/2017,0
Palermo,Lazio,0,3,0.42,3.06,18,9,2015/2016,1
Atalanta,Parma Calcio 1913,5,2,3.17,1.06,4,19,2020/2021,0
SPAL 2013,Torino,2,2,1.28,1.24,18,11,2017/2018,1
Empoli,Lazio,1,2,0.27,1.63,17,6,2016/2017,1
Bologna,Sassuolo,1,1,1.4,0.64,14,4,2016/2017,1
Napoli,Bologna,2,3,1.52,1.62,2,18,2015/2016,0
Cagliari,Torino,1,2,0.78,1.3,19,20,2014/2015,1
Sampdoria,Pescara,3,1,2.58,1.26,10,20,2016/2017,1
Sampdoria,Udinese,2,1,2.13,0.28,18,13,2019/2020,1
Empoli,Napoli,1,5,0.24,2.69,8,2,2015/2016,0
Parma Calcio 1913,Atalanta,0,1,0.31,1.37,19,16,2014/2015,0
Torino,Fiorentina,2,1,0.93,1.45,13,14,2016/2017,1
Genoa,Lazio,0,0,0.34,0.52,16,9,2015/2016,1
Torino,Juventus,1,4,1.46,1.77,15,1,2019/2020,0
Parma Calcio 1913,AC Milan,4,5,1.43,3.78,19,5,2014/2015,1
Torino,Atalanta,0,0,1.4,0.14,13,16,2014/2015,1
Palermo,Juventus,0,4,0.7,1.83,18,1,2015/2016,0
Bologna,Crotone,0,1,0.67,0.53,11,18,2017/2018,0
Sampdoria,Juventus,0,3,0.81,2.35,9,1,2017/2018,0
Atalanta,Juventus,1,2,0.86,2.44,17,1,2014/2015,0
Napoli,Lazio,4,1,2.65,0.28,3,5,2017/2018,0
Benevento,Parma Calcio 1913,2,2,1.39,1.21,16,19,2020/2021,1
Inter,Roma,1,1,0.3,1.15,5,3,2015/2016,0
AC Milan,Genoa,1,3,0.97,3.01,10,8,2014/2015,1
Roma,AC Milan,1,2,1.2,3.25,4,2,2020/2021,1
Inter,Atalanta,1,1,0.72,1.69,3,11,2015/2016,0
Crotone,Benevento,2,0,1.48,1.98,19,20,2017/2018,1
Empoli,Atalanta,0,1,0.72,0.69,14,12,2015/2016,1
Sassuolo,Empoli,3,1,3.31,1.84,16,14,2014/2015,1
Torino,Sassuolo,0,0,2.07,0.61,8,15,2016/2017,0
Atalanta,Cesena,2,2,1.41,2.63,17,19,2014/2015,0
Genoa,Bologna,0,1,1.51,0.87,18,11,2017/2018,1
Roma,Genoa,2,1,1.82,0.81,5,12,2017/2018,1
Lazio,Torino,2,2,1.32,1.66,7,6,2016/2017,0
Juventus,Atalanta,3,0,2.69,1.01,1,11,2014/2015,0
AC Milan,Sassuolo,1,0,2.24,1.24,7,12,2016/2017,0
AC Milan,Fiorentina,0,0,0.71,1.54,6,10,2016/2017,0
Chievo,Napoli,1,3,0.17,1.46,20,2,2018/2019,1
Sampdoria,Parma Calcio 1913,3,2,1.65,1.15,14,13,2019/2020,0
Napoli,Atalanta,4,1,1.17,0.64,5,2,2020/2021,1
Cagliari,Napoli,0,1,0.29,1.12,8,11,2019/2020,1
AC Milan,Palermo,0,2,1.12,1.65,5,15,2014/2015,1
Inter,Lazio,1,2,0.52,1.4,1,12,2015/2016,1
Udinese,Lecce,1,2,1.55,1.93,14,18,2019/2020,1
Torino,Roma,2,0,2.29,1.95,10,4,2019/2020,0
Napoli,SPAL 2013,1,1,0.9,0.47,4,19,2019/2020,0
Palermo,Frosinone,2,0,0.84,1.37,19,18,2015/2016,0
Sampdoria,Chievo,2,1,1.78,0.27,7,15,2014/2015,1
Chievo,Atalanta,1,0,1.56,0.11,11,8,2015/2016,1
