A_team,B_team,A_score,B_score,A_standings,B_standings,season,target,total_goals
Atalanta,Torino,1,2,17,7,2014/2015,1,3
Cagliari,Lazio,1,3,18,3,2014/2015,1,4
Fiorentina,Sampdoria,2,0,6,4,2014/2015,1,2
Genoa,Udinese,1,1,10,13,2014/2015,1,2
Inter,Parma Calcio 1913,1,1,10,20,2014/2015,1,2
Juventus,Empoli,2,0,1,13,2014/2015,1,2
Palermo,AC Milan,1,2,11,8,2014/2015,1,3
Roma,Napoli,1,0,3,6,2014/2015,1,1
Sassuolo,Chievo,1,0,15,14,2014/2015,1,1
Verona,Cesena,3,3,16,19,2014/2015,1,6
Parma Calcio 1913,Udinese,1,0,20,13,2014/2015,1,1
Genoa,Cagliari,2,0,10,19,2014/2015,1,2
Parma Calcio 1913,Juventus,1,0,20,1,2014/2015,1,1
Verona,Inter,0,3,15,10,2014/2015,1,3
AC Milan,Sampdoria,1,1,9,5,2014/2015,1,2
Atalanta,Sassuolo,2,1,17,12,2014/2015,1,3
Cesena,Chievo,0,1,18,16,2014/2015,1,1
Lazio,Empoli,4,0,3,15,2014/2015,1,4
Napoli,Fiorentina,3,0,6,4,2014/2015,1,3
Torino,Roma,1,1,8,3,2014/2015,1,2
Udinese,Palermo,1,3,14,11,2014/2015,1,4
Genoa,Parma Calcio 1913,2,0,10,20,2014/2015,1,2
Juventus,Lazio,2,0,1,2,2014/2015,1,2
Sampdoria,Cesena,0,0,6,18,2014/2015,1,0
Cagliari,Napoli,0,3,19,4,2014/2015,1,3
Chievo,Udinese,1,1,12,14,2014/2015,1,2
Empoli,Parma Calcio 1913,2,2,15,20,2014/2015,1,4
Inter,AC Milan,0,0,10,9,2014/2015,1,0
Palermo,Genoa,2,1,11,7,2014/2015,1,3
Roma,Atalanta,1,1,3,17,2014/2015,1,2
Sassuolo,Torino,1,1,14,9,2014/2015,1,2
Fiorentina,Verona,0,1,6,16,2014/2015,1,1
Inter,Roma,2,1,10,3,2014/2015,1,3
Udinese,AC Milan,2,1,15,10,2014/2015,1,3
Atalanta,Empoli,2,2,17,16,2014/2015,1,4
Fiorentina,Cagliari,1,3,6,19,2014/2015,1,4
Genoa,Cesena,3,1,8,19,2014/2015,1,4
Lazio,Chievo,1,1,2,13,2014/2015,1,2
Napoli,Sampdoria,4,2,4,5,2014/2015,1,6
Parma Calcio 1913,Palermo,1,0,20,11,2014/2015,1,1
Torino,Juventus,2,1,9,1,2014/2015,1,3
Verona,Sassuolo,3,2,15,14,2014/2015,1,5
Udinese,Inter,1,2,13,9,2014/2015,1,3
AC Milan,Genoa,1,3,10,8,2014/2015,1,4
Cesena,Atalanta,2,2,19,17,2014/2015,1,4
Chievo,Cagliari,1,0,14,18,2014/2015,1,1
Juventus,Fiorentina,3,2,1,7,2014/2015,1,5
Lazio,Parma Calcio 1913,4,0,2,20,2014/2015,1,4
Palermo,Torino,2,2,11,9,2014/2015,1,4
Sampdoria,Verona,1,1,6,13,2014/2015,1,2
Sassuolo,Roma,0,3,15,3,2014/2015,1,3
Empoli,Napoli,4,2,16,4,2014/2015,1,6
Sampdoria,Juventus,0,1,5,1,2014/2015,1,1
Sassuolo,Palermo,0,0,16,11,2014/2015,1,0
Atalanta,Lazio,1,1,17,2,2014/2015,1,2
Fiorentina,Cesena,3,1,7,19,2014/2015,1,4
Inter,Chievo,0,0,8,12,2014/2015,1,0
Napoli,AC Milan,3,0,4,10,2014/2015,1,3
Roma,Genoa,2,0,3,7,2014/2015,1,2
Verona,Udinese,0,1,13,15,2014/2015,1,1
Cagliari,Parma Calcio 1913,4,0,18,20,2014/2015,1,4
Torino,Empoli,0,1,9,15,2014/2015,1,1
AC Milan,Roma,2,1,10,2,2014/2015,1,3
Juventus,Cagliari,1,1,1,18,2014/2015,1,2
Cesena,Sassuolo,2,3,19,16,2014/2015,1,5
Chievo,Verona,2,2,14,16,2014/2015,1,4
Empoli,Fiorentina,2,3,13,5,2014/2015,1,5
Lazio,Inter,1,2,3,8,2014/2015,1,3
Palermo,Atalanta,2,3,11,17,2014/2015,1,5
Parma Calcio 1913,Napoli,2,2,20,4,2014/2015,1,4
Udinese,Sampdoria,1,4,14,7,2014/2015,1,5
Genoa,Torino,5,1,8,9,2014/2015,1,6
Inter,Juventus,1,2,8,1,2014/2015,1,3
Sampdoria,Lazio,0,1,6,3,2014/2015,1,1
Atalanta,Genoa,1,4,17,7,2014/2015,1,5
Cagliari,Palermo,0,1,18,11,2014/2015,1,1
Roma,Udinese,2,1,3,14,2014/2015,1,3
Sassuolo,AC Milan,3,2,16,10,2014/2015,1,5
Torino,Chievo,2,0,9,13,2014/2015,1,2
Verona,Empoli,2,1,16,14,2014/2015,1,3
Fiorentina,Parma Calcio 1913,3,0,6,20,2014/2015,1,3
Napoli,Cesena,3,2,4,19,2014/2015,1,5
Genoa,Inter,3,2,6,8,2014/2015,1,5
Juventus,Napoli,3,1,1,4,2014/2015,1,4
AC Milan,Torino,3,0,10,9,2014/2015,1,3
Cesena,Cagliari,0,1,19,18,2014/2015,1,1
Chievo,Atalanta,1,1,14,17,2014/2015,1,2
Empoli,Sampdoria,1,1,15,7,2014/2015,1,2
Palermo,Fiorentina,2,3,11,6,2014/2015,1,5
Parma Calcio 1913,Verona,2,2,20,12,2014/2015,1,4
Udinese,Sassuolo,0,1,16,14,2014/2015,1,1
Lazio,Roma,1,2,3,2,2014/2015,1,3
Atalanta,AC Milan,1,3,17,10,2014/2015,1,4
Verona,Juventus,2,2,13,1,2014/2015,1,4
Cagliari,Udinese,4,3,18,16,2014/2015,1,7
Fiorentina,Chievo,3,0,5,14,2014/2015,1,3
Inter,Empoli,4,3,8,15,2014/2015,1,7
Napoli,Lazio,2,4,5,3,2014/2015,1,6
Roma,Palermo,1,2,2,11,2014/2015,1,3
Sampdoria,Parma Calcio 1913,2,2,8,19,2014/2015,1,4
Sassuolo,Genoa,3,1,12,6,2014/2015,1,4
Torino,Cesena,5,0,10,20,2014/2015,1,5
Lazio,Bologna,2,1,12,3,2015/2016,1,3
Verona,Roma,1,1,19,14,2015/2016,1,2
Empoli,Chievo,1,3,8,7,2015/2016,1,4
Fiorentina,AC Milan,2,0,8,5,2015/2016,1,2
Frosinone,Torino,1,2,8,16,2015/2016,1,3
Inter,Atalanta,1,0,10,7,2015/2016,1,1
Juventus,Udinese,0,1,10,15,2015/2016,1,1
Palermo,Genoa,1,0,12,10,2015/2016,1,1
Sampdoria,Carpi,5,2,12,10,2015/2016,1,7
Sassuolo,Napoli,2,1,12,11,2015/2016,1,3
AC Milan,Empoli,2,1,18,19,2015/2016,1,3
Bologna,Sassuolo,0,1,14,7,2015/2016,1,1
Atalanta,Frosinone,2,0,13,14,2015/2016,1,2
Carpi,Inter,1,2,18,6,2015/2016,1,3
Chievo,Lazio,4,0,4,7,2015/2016,1,4
Genoa,Verona,2,0,14,13,2015/2016,1,2
Napoli,Sampdoria,2,2,16,4,2015/2016,1,4
Roma,Juventus,2,1,13,16,2015/2016,1,3
Torino,Fiorentina,3,1,10,6,2015/2016,1,4
Udinese,Palermo,0,1,10,9,2015/2016,1,1
Fiorentina,Genoa,1,0,10,9,2015/2016,1,1
Frosinone,Roma,0,2,19,8,2015/2016,1,2
Juventus,Chievo,1,1,17,2,2015/2016,1,2
Empoli,Napoli,2,2,18,14,2015/2016,1,4
Inter,AC Milan,1,0,4,12,2015/2016,1,1
Lazio,Udinese,2,0,13,11,2015/2016,1,2
Palermo,Carpi,2,2,5,19,2015/2016,1,4
Sassuolo,Atalanta,2,2,6,10,2015/2016,1,4
Verona,Torino,2,2,16,6,2015/2016,1,4
Sampdoria,Bologna,2,0,9,19,2015/2016,1,2
AC Milan,Palermo,3,2,12,6,2015/2016,1,5
Udinese,Empoli,1,2,13,17,2015/2016,1,3
Atalanta,Verona,1,1,11,16,2015/2016,1,2
Bologna,Frosinone,1,0,19,20,2015/2016,1,1
Carpi,Fiorentina,0,1,19,8,2015/2016,1,1
Chievo,Inter,0,1,3,1,2015/2016,1,1
Genoa,Juventus,0,2,13,18,2015/2016,1,2
Napoli,Lazio,5,0,18,10,2015/2016,1,5
Roma,Sassuolo,2,2,5,7,2015/2016,1,4
Torino,Sampdoria,2,0,7,6,2015/2016,1,2
Udinese,AC Milan,2,3,18,9,2015/2016,1,5
Carpi,Napoli,0,0,19,11,2015/2016,1,0
Chievo,Torino,1,0,7,2,2015/2016,1,1
Fiorentina,Bologna,2,0,4,17,2015/2016,1,2
Inter,Verona,1,0,2,16,2015/2016,1,1
Juventus,Frosinone,1,1,13,20,2015/2016,1,2
Lazio,Genoa,2,0,11,15,2015/2016,1,2
Palermo,Sassuolo,0,1,10,8,2015/2016,1,1
Sampdoria,Roma,2,1,9,8,2015/2016,1,3
Empoli,Atalanta,0,1,14,12,2015/2016,1,1
Napoli,Juventus,2,1,12,13,2015/2016,1,3
Roma,Carpi,5,1,11,19,2015/2016,1,6
Bologna,Udinese,1,2,18,17,2015/2016,1,3
Genoa,AC Milan,1,0,17,9,2015/2016,1,1
Inter,Fiorentina,1,4,1,2,2015/2016,1,5
Sassuolo,Chievo,1,1,4,5,2015/2016,1,2
Torino,Palermo,2,1,7,12,2015/2016,1,3
Verona,Lazio,1,2,17,10,2015/2016,1,3
Atalanta,Sampdoria,2,1,11,8,2015/2016,1,3
Frosinone,Empoli,2,0,20,16,2015/2016,1,2
Carpi,Torino,2,1,20,3,2015/2016,1,3
Chievo,Verona,1,1,6,19,2015/2016,1,2
AC Milan,Napoli,0,4,11,10,2015/2016,1,4
Empoli,Sassuolo,1,0,19,6,2015/2016,1,1
Fiorentina,Atalanta,3,0,1,9,2015/2016,1,3
Juventus,Bologna,3,1,16,20,2015/2016,1,4
Lazio,Frosinone,2,0,7,18,2015/2016,1,2
Palermo,Roma,2,4,13,8,2015/2016,1,6
Sampdoria,Inter,1,1,10,2,2015/2016,1,2
Udinese,Genoa,1,1,16,15,2015/2016,1,2
Roma,Empoli,3,1,4,16,2015/2016,1,4
Torino,AC Milan,1,1,5,11,2015/2016,1,2
Atalanta,Carpi,3,0,10,17,2015/2016,1,3
Bologna,Palermo,0,1,20,14,2015/2016,1,1
Frosinone,Sampdoria,2,0,19,10,2015/2016,1,2
Genoa,Chievo,3,2,14,8,2015/2016,1,5
Inter,Juventus,0,0,3,14,2015/2016,1,0
Napoli,Fiorentina,2,1,7,1,2015/2016,1,3
Sassuolo,Lazio,2,1,9,5,2015/2016,1,3
Verona,Udinese,1,1,19,15,2015/2016,1,2
Carpi,Bologna,1,2,19,20,2015/2016,1,3
Empoli,Genoa,2,0,17,11,2015/2016,1,2
Palermo,Inter,1,1,11,3,2015/2016,1,2
AC Milan,Sassuolo,2,1,14,5,2015/2016,1,3
Chievo,Napoli,0,1,10,4,2015/2016,1,1
Fiorentina,Roma,1,2,2,4,2015/2016,1,3
Juventus,Atalanta,2,0,15,8,2015/2016,1,2
Lazio,Torino,3,0,6,7,2015/2016,1,3
Sampdoria,Verona,4,1,12,19,2015/2016,1,5
Udinese,Frosinone,1,0,16,17,2015/2016,1,1
Bologna,Inter,0,1,18,4,2015/2016,1,1
AC Milan,Chievo,1,0,10,11,2015/2016,1,1
Atalanta,Lazio,2,1,9,5,2015/2016,1,3
Frosinone,Carpi,2,1,17,20,2015/2016,1,3
Napoli,Palermo,2,0,3,13,2015/2016,1,2
Roma,Udinese,3,1,3,13,2015/2016,1,4
Sassuolo,Juventus,1,0,8,12,2015/2016,1,1
Torino,Genoa,3,3,10,17,2015/2016,1,6
Verona,Fiorentina,0,2,19,4,2015/2016,1,2
Sampdoria,Empoli,1,1,10,16,2015/2016,1,2
